2026-03-12 16:11:00.987 [main] INFO  o.s.b.w.c.servlet.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 1529 ms
2026-03-12 16:11:01.491 [main] INFO  o.s.b.w.autoconfigure.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-03-12 16:11:01.872 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-03-12 16:11:01.900 [main] INFO  org.springframework.boot.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-03-12 16:11:01.906 [main] INFO  com.example.ManagementApplication - Started ManagementApplication in 3.849 seconds (process running for 5.314)
2026-03-12 16:11:05.368 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-03-12 16:11:05.368 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-03-12 16:11:05.369 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-03-12 16:12:57.342 [http-nio-8080-exec-5] INFO  com.example.controller.LoginController - 员工来登录啦 , Emp(id=null, username=songjiang, password=123456, name=null, gender=null, phone=null, job=null, salary=null, image=null, entryDate=null, deptId=null, createTime=null, updateTime=null, deptName=null, exprList=null)
2026-03-12 16:12:57.386 [http-nio-8080-exec-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-03-12 16:12:57.602 [http-nio-8080-exec-5] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3fb31eb5
2026-03-12 16:12:57.606 [http-nio-8080-exec-5] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-03-12 16:13:31.400 [http-nio-8080-exec-6] INFO  com.example.controller.LoginController - 员工来登录啦 , Emp(id=null, username=songjiang, password=123456, name=null, gender=null, phone=null, job=null, salary=null, image=null, entryDate=null, deptId=null, createTime=null, updateTime=null, deptName=null, exprList=null)
2026-03-12 16:15:38.775 [SpringApplicationShutdownHook] INFO  org.springframework.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-03-12 16:15:38.807 [tomcat-shutdown] INFO  org.springframework.boot.tomcat.GracefulShutdown - Graceful shutdown complete
2026-03-12 16:15:38.818 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-03-12 16:15:38.843 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-03-12 16:15:46.046 [main] INFO  com.example.ManagementApplication - Starting ManagementApplication using Java 22.0.1 with PID 21624 (E:\java\java0\Management\target\classes\production\Management started by XiaoXiaoli in E:\java\java0\Management)
2026-03-12 16:15:46.049 [main] INFO  com.example.ManagementApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-12 16:15:47.290 [main] INFO  org.springframework.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-03-12 16:15:47.311 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-03-12 16:15:47.315 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-03-12 16:15:47.315 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.15]
2026-03-12 16:15:47.501 [main] INFO  o.s.b.w.c.servlet.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 1407 ms
2026-03-12 16:15:48.053 [main] INFO  o.s.b.w.autoconfigure.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-03-12 16:15:48.449 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-03-12 16:15:48.480 [main] INFO  org.springframework.boot.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-03-12 16:15:48.487 [main] INFO  com.example.ManagementApplication - Started ManagementApplication in 3.841 seconds (process running for 5.017)
2026-03-12 16:15:59.352 [http-nio-8080-exec-3] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
